station_id,timestamp,session_id,voltage,current,power_kw,temperature_c,error_code,message,duration_sec,energy_kwh
STN_005,2024-02-09 20:08:01.842655,SES_003156,240.01,28.41,6.818,,0,Charging complete,288,0.5454
STN_004,2024-02-14 08:08:57.591407,SES_003547,242.54,31.15,7.555,38.82,0,Power delivery stable,226,0.4743
STN_001,2024-02-28 17:32:34.798004,SES_004647,,32.82,7.92,41.89,0,Power delivery stable,259,0.5698
STN_007,2024-02-02 18:34:51.209515,SES_002616,236.99,30.72,7.279,42.68,0,Pilot signal OK,308,0.6228
STN_010,2024-02-22 07:59:11.266171,SES_004237,242.11,34.07,8.248,34.12,0,Session started,308,0.7057
STN_005,2024-01-22 07:19:10.640950,SES_001717,240.1,27.41,6.581,31.37,0,Session started,245,0.4479
STN_005,2024-01-24 14:58:21.629833,SES_001874,239.98,26.46,6.35,35.48,0,Charging complete,292,0.5151
STN_003,2024-01-12 12:00:06.598963,SES_000898,241.48,35.43,8.555,35.23,0,Vehicle handshake OK,253,0.6012
STN_005,2024-01-14 17:21:55.828139,SES_001074,238.49,,5.878,29.83,0,Pilot signal OK,311,0.5078
STN_002,2024-02-14 18:10:00.656277,SES_003532,246.04,31.92,7.853,39.4,0,Charging complete,326,0.7111
STN_005,2024-01-24 12:09:10.533910,SES_001878,239.71,26.28,6.301,36.29,0,Charging in progress,317,
STN_003,2024-02-14 21:59:34.858867,SES_003538,246.21,33.57,8.266,,0,Charging complete,341,0.783
STN_006,2024-02-13 21:07:56.807413,SES_003482,243.93,30.87,7.53,37.17,0,Charging in progress,320,0.6693
STN_007,2024-01-19 14:18:11.149626,SES_001489,236.87,28.46,6.742,45.74,0,Pilot signal OK,318,0.5955
STN_005,2024-02-20 10:25:07.393683,SES_004040,242.83,28.94,7.027,29.83,0,Vehicle handshake OK,310,0.6051
STN_004,2024-02-18 10:15:32.923276,SES_003865,239.81,29.17,6.995,37.01,0,Vehicle handshake OK,336,0.6529
STN_003,2024-02-08 19:10:56.456407,SES_003058,240.51,37.58,9.037,42.29,0,Charging complete,324,0.8133
STN_009,2024-02-03 08:39:34.911316,SES_002709,236.92,32.06,7.595,41.13,0,Vehicle handshake OK,264,0.557
STN_009,2024-01-31 09:43:25.598767,SES_002468,237.22,32.0,7.59,38.33,0,Charging complete,275,0.5798
STN_001,2024-02-01 21:10:27.310556,SES_002481,238.56,33.19,7.918,44.04,0,Pilot signal OK,319,0.7016
STN_001,2024-01-04 16:10:08.842162,SES_000246,,29.59,7.144,45.71,0,Session started,322,0.639
STN_009,2024-01-23 14:35:54.186854,SES_001827,238.68,30.65,7.315,40.04,0,Pilot signal OK,324,0.6583
STN_004,2024-01-29 10:30:27.476106,SES_002272,245.77,29.01,7.13,35.32,0,Power delivery stable,281,0.5565
STN_006,2024-02-15 15:25:49.766901,SES_003643,243.46,32.86,8.0,41.83,0,Power delivery stable,254,0.5644
STN_007,2024-02-15 18:33:38.149509,SES_003655,235.28,27.93,6.571,45.88,0,Pilot signal OK,288,0.5257
STN_001,2024-01-15 18:10:53.627445,SES_001125,239.55,31.4,7.522,36.94,0,Session started,245,0.5119
STN_004,2024-01-29 20:04:04.753276,SES_002267,241.16,31.01,7.478,41.32,0,Charging in progress,332,0.6896
STN_003,2024-02-04 10:06:52.352644,SES_002737,241.05,33.93,8.179,38.86,0,Power delivery stable,293,0.6657
STN_008,2024-01-12 09:17:04.731287,SES_000942,239.1,31.64,7.565,32.97,0,Charging complete,264,0.5548
STN_004,2024-02-02 16:37:09.112148,SES_002586,240.59,33.52,8.064,38.33,0,Pilot signal OK,290,0.6496
STN_006,2024-01-30 17:00:19.946822,SES_002368,239.01,30.72,7.343,39.8,0,Vehicle handshake OK,265,0.5405
STN_007,2024-01-04 06:45:40.791891,SES_000294,238.25,27.9,6.647,39.4,0,Charging in progress,278,0.5133
STN_009,2024-01-09 13:16:01.029519,SES_000709,237.32,32.73,7.767,36.69,0,Power delivery stable,281,0.6063
STN_001,2024-01-25 21:02:45.660097,SES_001928,242.03,33.33,8.067,42.66,0,Session started,271,0.6073
STN_006,2024-02-25 15:52:49.067720,SES_004442,235.75,30.22,7.124,43.03,0,Session started,279,0.5521
STN_008,2024-01-08 12:59:55.611991,SES_000623,241.86,31.56,7.632,36.23,0,Charging in progress,366,0.7759
STN_010,2024-02-28 13:34:30.545454,SES_004718,241.77,33.48,8.095,,0,Session started,314,0.7061
STN_006,2024-02-17 08:38:03.484652,SES_003805,238.43,30.34,7.234,39.66,0,Vehicle handshake OK,290,0.5827
STN_010,2024-02-06 07:55:53.032439,SES_002960,243.75,32.44,7.907,36.18,0,Charging in progress,314,0.6897
STN_005,2024-02-02 11:42:36.079875,SES_002596,242.65,27.91,6.771,31.16,0,Power delivery stable,260,0.489
STN_009,2024-01-04 20:32:36.994257,SES_000307,234.42,32.65,7.655,32.61,0,Session started,313,0.6656
STN_009,2024-01-24 15:00:38.971531,SES_001908,238.61,30.8,7.349,34.15,0,Charging complete,347,0.7084
STN_005,2024-01-31 15:06:13.156363,SES_002438,295.51,27.8,8.215,32.07,101,Voltage spike detected,276,0.5186
STN_003,2024-01-05 20:34:58.014193,SES_000344,243.89,32.39,7.899,38.75,0,Pilot signal OK,253,0.5551
STN_006,2024-02-18 12:01:39.798731,SES_003886,238.35,29.85,7.115,38.04,0,Charging complete,328,0.6483
STN_005,2024-02-25 22:04:12.311040,SES_004438,240.39,26.1,6.274,31.13,0,Charging in progress,373,0.6501
STN_003,2024-01-17 17:33:17.243793,SES_001300,244.0,32.5,7.931,33.59,0,Power delivery stable,272,0.5992
STN_001,2024-02-29 17:47:40.858772,SES_004726,240.24,30.62,7.357,41.11,0,Session started,324,
STN_010,2024-02-19 16:59:10.079509,SES_003995,240.52,29.93,7.199,35.49,0,Session started,360,0.7199
STN_005,2024-01-09 21:03:50.885543,SES_000673,246.87,24.91,6.149,37.47,0,Session started,288,0.4919
STN_008,2024-01-31 16:14:35.054972,SES_002464,239.96,32.16,7.717,37.36,0,Charging in progress,275,0.5895
STN_001,2024-02-03 18:08:34.863072,SES_002642,241.85,31.62,7.648,36.94,0,Power delivery stable,357,0.7584
STN_005,2024-01-23 10:27:34.125510,SES_001797,238.85,25.69,6.137,37.21,0,Pilot signal OK,317,0.5404
STN_009,2024-01-21 20:39:00.772630,SES_001670,236.92,30.39,7.201,34.16,0,Vehicle handshake OK,319,0.6381
STN_004,2024-02-13 17:29:54.531029,SES_003471,241.56,30.3,7.32,34.76,0,Vehicle handshake OK,303,0.6161
STN_001,2024-02-13 21:23:24.969958,SES_003444,238.1,0.0,0.0,40.39,401,Communication timeout,270,0.0
STN_007,2024-01-24 15:38:35.865339,SES_001895,237.48,28.79,6.837,41.18,0,Pilot signal OK,284,0.5394
STN_009,2024-01-29 19:54:49.701804,SES_002311,236.59,0.09,0.0,34.68,0,Charging in progress,299,0.0
STN_008,2024-02-25 21:04:57.734936,SES_004457,237.55,31.3,7.435,,0,Charging complete,275,0.568
STN_009,2024-01-26 19:45:09.296690,SES_002070,236.64,34.49,8.163,36.65,0,Power delivery stable,302,0.6848
STN_007,2024-01-28 13:09:43.187184,SES_002210,239.55,32.56,7.799,43.05,0,Vehicle handshake OK,251,0.5438
STN_003,2024-01-27 14:59:30.233724,SES_002098,245.79,35.7,8.774,38.82,0,Charging in progress,274,0.6678
STN_002,2024-02-19 08:30:56.492355,SES_003935,246.83,31.55,7.787,37.49,0,Session started,318,0.6879
STN_006,2024-01-29 09:20:28.714248,SES_002281,237.68,29.55,7.023,40.81,0,Vehicle handshake OK,295,0.5755
STN_008,2024-02-11 11:00:40.679174,SES_003339,241.59,32.26,7.794,36.37,0,Pilot signal OK,324,0.7015
STN_001,2024-01-21 10:30:10.022239,SES_001608,240.81,34.34,,41.08,0,Session started,290,0.6662
STN_007,2024-02-25 13:09:34.294109,SES_004454,236.74,27.7,6.558,44.12,0,Vehicle handshake OK,309,0.5629
STN_008,2024-01-04 19:46:09.141731,SES_000303,240.62,0.5,0.0,35.12,0,Charging in progress,273,0.0
STN_007,2024-01-17 09:41:33.610511,SES_001330,235.01,26.97,6.339,41.36,0,Session started,319,0.5617
STN_008,2024-01-28 12:19:33.860337,SES_002217,245.86,34.55,8.494,33.26,0,Power delivery stable,245,0.5781
STN_001,2024-02-24 10:25:55.354361,SES_004321,241.77,33.35,8.064,38.56,0,Charging complete,316,0.7078
STN_004,2024-02-28 11:17:06.874776,SES_004665,241.68,31.42,7.593,33.6,0,Vehicle handshake OK,239,0.5041
STN_004,2024-02-17 16:49:59.953164,SES_003786,238.14,28.9,6.881,40.15,0,Charging complete,270,0.5161
STN_005,2024-02-29 20:33:50.640215,SES_004757,244.84,28.0,6.856,31.26,0,Session started,327,0.6228
STN_009,2024-02-05 16:14:03.261164,SES_002872,239.91,29.9,7.174,88.32,301,Thermal limit warning,322,0.6417
STN_003,2024-01-01 16:08:03.889209,SES_000017,245.47,32.13,7.886,33.59,0,Vehicle handshake OK,268,0.5871
STN_010,2024-01-20 17:36:43.090250,SES_001594,237.45,34.09,8.095,43.85,0,Session started,281,0.6319
STN_003,2024-02-05 06:21:29.563087,SES_002824,243.4,34.49,8.395,40.49,0,Session started,330,0.7695
STN_005,2024-02-13 06:49:08.253640,SES_003475,240.65,28.78,6.926,34.44,0,Power delivery stable,297,0.5714
STN_002,2024-02-02 07:54:01.049976,SES_002571,246.86,31.14,7.687,41.86,0,Power delivery stable,342,0.7303
STN_006,2024-01-16 13:05:27.562122,SES_001248,236.36,29.37,,41.76,0,Charging complete,298,0.5746
STN_003,2024-02-25 09:34:35.882339,SES_004423,246.56,33.23,8.194,,0,Power delivery stable,282,0.6419
STN_001,2024-01-21 10:15:10.022239,SES_001608,240.09,32.95,7.912,36.94,0,Power delivery stable,335,0.7363
STN_009,2024-01-27 09:23:21.132308,SES_002150,239.38,29.2,6.99,32.96,0,Charging complete,311,0.6039
STN_007,2024-01-19 14:23:11.149626,SES_001489,237.3,25.04,5.942,46.39,0,Charging in progress,389,0.6421
STN_009,2024-02-19 22:03:21.527107,SES_003992,238.54,30.64,7.31,35.18,0,Charging in progress,333,0.6762
